frame,time,track_id,bbox,confidence,position,jersey_number
0,0.0,1,"[88.65983581542969, 370.1326904296875, 212.77479553222656, 537.728271484375]",0.9735100865364075,"[150.71731567382812, 453.93048095703125]",
0,0.0,2,"[204.1984405517578, 336.2857666015625, 287.68206787109375, 544.8455810546875]",0.9698988199234009,"[245.94025421142578, 440.565673828125]",
1,0.3333333333333333,1,"[87.75985717773438, 370.7796936035156, 211.84518432617188, 538.03564453125]",0.9711801409721375,"[149.80252075195312, 454.4076690673828]",
1,0.3333333333333333,2,"[202.6401824951172, 336.23712158203125, 286.1133728027344, 545.2901611328125]",0.9723692536354065,"[244.37677764892578, 440.7636413574219]",
1,0.3333333333333333,3,"[148.6306610107422, 549.76220703125, 230.28341674804688, 751.9588012695312]",0.6404832601547241,"[189.45703887939453, 650.8605041503906]",
2,0.6666666666666666,2,"[201.05789184570312, 334.2271423339844, 284.2935485839844, 544.9087524414062]",0.9698284268379211,"[242.67572021484375, 439.5679473876953]",
2,0.6666666666666666,1,"[85.79177856445312, 355.0733947753906, 213.74005126953125, 538.1563110351562]",0.9719338417053223,"[149.7659149169922, 446.61485290527344]",
2,0.6666666666666666,3,"[142.11053466796875, 546.4535522460938, 223.17483520507812, 752.235107421875]",0.7191084623336792,"[182.64268493652344, 649.3443298339844]",
3,1.0,2,"[200.71621704101562, 334.33807373046875, 284.22613525390625, 544.8995971679688]",0.9707900285720825,"[242.47117614746094, 439.61883544921875]",
3,1.0,3,"[144.7357177734375, 545.7196044921875, 223.4721221923828, 752.0485229492188]",0.8528453707695007,"[184.10391998291016, 648.8840637207031]",
3,1.0,1,"[86.41874694824219, 323.36968994140625, 214.16990661621094, 538.257568359375]",0.9748021364212036,"[150.29432678222656, 430.8136291503906]",
4,1.3333333333333333,3,"[151.6832275390625, 546.0462036132812, 229.5243682861328, 752.227783203125]",0.6482030153274536,"[190.60379791259766, 649.1369934082031]",
4,1.3333333333333333,2,"[206.29296875, 338.2572021484375, 290.08941650390625, 545.2137451171875]",0.9713849425315857,"[248.19119262695312, 441.7354736328125]",
4,1.3333333333333333,1,"[91.6028823852539, 359.50146484375, 216.383056640625, 537.521240234375]",0.9713518023490906,"[153.99296951293945, 448.5113525390625]",
5,1.6666666666666667,1,"[95.82305145263672, 364.6640625, 198.4940643310547, 535.1138305664062]",0.9609144926071167,"[147.1585578918457, 449.8889465332031]",
5,1.6666666666666667,2,"[164.90847778320312, 367.0317687988281, 311.07928466796875, 557.4373168945312]",0.9708080887794495,"[237.99388122558594, 462.2345428466797]",
6,2.0,1,"[59.44951629638672, 377.0334167480469, 191.05902099609375, 544.7364501953125]",0.9611582159996033,"[125.25426864624023, 460.8849334716797]",
6,2.0,2,"[167.15200805664062, 380.2785949707031, 296.92718505859375, 558.6362915039062]",0.9494644999504089,"[232.0395965576172, 469.4574432373047]",
7,2.3333333333333335,1,"[51.41300964355469, 370.7713928222656, 173.80906677246094, 547.0132446289062]",0.9729947447776794,"[112.61103820800781, 458.89231872558594]",
7,2.3333333333333335,2,"[168.3280029296875, 371.1592712402344, 282.6126708984375, 544.5473022460938]",0.9679562449455261,"[225.4703369140625, 457.85328674316406]",
8,2.6666666666666665,1,"[32.538333892822266, 368.80413818359375, 175.89425659179688, 532.802490234375]",0.9718610048294067,"[104.21629524230957, 450.8033142089844]",
8,2.6666666666666665,2,"[159.66168212890625, 375.6731872558594, 301.848388671875, 546.2300415039062]",0.9768683314323425,"[230.75503540039062, 460.9516143798828]",
9,3.0,2,"[197.05824279785156, 354.7384948730469, 308.4183654785156, 545.717529296875]",0.9746365547180176,"[252.7383041381836, 450.22801208496094]",
9,3.0,1,"[66.01073455810547, 353.31640625, 195.989013671875, 529.6409912109375]",0.9711162447929382,"[130.99987411499023, 441.47869873046875]",
9,3.0,4,"[-0.5687257647514343, 203.5502471923828, 13.305723190307617, 372.6483154296875]",0.5920249819755554,"[6.368498712778091, 288.09928131103516]",
9,3.0,5,"[303.9274597167969, 545.0770874023438, 382.76409912109375, 752.5108642578125]",0.540174663066864,"[343.3457794189453, 648.7939758300781]",
10,3.3333333333333335,1,"[81.22818756103516, 353.464599609375, 221.87181091308594, 522.5018920898438]",0.9738292098045349,"[151.54999923706055, 437.9832458496094]",
10,3.3333333333333335,2,"[193.33082580566406, 362.358154296875, 338.3407897949219, 531.9893188476562]",0.9703617691993713,"[265.83580780029297, 447.1737365722656]",
10,3.3333333333333335,6,"[-0.022632479667663574, 125.63243103027344, 42.16771697998047, 240.5078887939453]",0.765980064868927,"[21.072542250156403, 183.07015991210938]",
10,3.3333333333333335,7,"[43.33219909667969, 147.82766723632812, 149.22772216796875, 279.7889099121094]",0.9016846418380737,"[96.27996063232422, 213.80828857421875]",
10,3.3333333333333335,8,"[17.205005645751953, 212.846923828125, 78.50226593017578, 391.0688171386719]",0.9517272114753723,"[47.85363578796387, 301.95787048339844]",
11,3.6666666666666665,1,"[79.0822982788086, 344.40997314453125, 200.42413330078125, 512.6019897460938]",0.8559917211532593,"[139.75321578979492, 428.5059814453125]",
11,3.6666666666666665,2,"[184.25726318359375, 345.27069091796875, 304.2953186035156, 533.21533203125]",0.9533998966217041,"[244.2762908935547, 439.2430114746094]",
11,3.6666666666666665,9,"[-0.5529682636260986, 389.5870056152344, 9.934953689575195, 566.7982788085938]",0.5814263820648193,"[4.690992712974548, 478.19264221191406]",
11,3.6666666666666665,10,"[-2.4800634384155273, 142.24244689941406, 22.47724151611328, 258.8879089355469]",0.7803423404693604,"[9.998589038848877, 200.56517791748047]",
11,3.6666666666666665,11,"[18.30475616455078, 122.9071273803711, 69.88194274902344, 244.25596618652344]",0.8245038986206055,"[44.09334945678711, 183.58154678344727]",
11,3.6666666666666665,12,"[47.82786560058594, 216.5052490234375, 131.9944610595703, 390.5326232910156]",0.9374361634254456,"[89.91116333007812, 303.51893615722656]",
11,3.6666666666666665,13,"[146.78091430664062, 152.22561645507812, 245.3818359375, 306.4648742675781]",0.9315226078033447,"[196.0813751220703, 229.34524536132812]",
12,4.0,1,"[60.443824768066406, 344.3903503417969, 196.40115356445312, 505.0307922363281]",0.9537059664726257,"[128.42248916625977, 424.7105712890625]",
12,4.0,2,"[156.7010040283203, 349.7737731933594, 284.18280029296875, 525.1848754882812]",0.9437483549118042,"[220.44190216064453, 437.4793243408203]",
12,4.0,11,"[6.736791610717773, 140.11839294433594, 58.54634094238281, 258.47711181640625]",0.7424905300140381,"[32.64156627655029, 199.2977523803711]",
12,4.0,14,"[0.1265859603881836, 396.8626708984375, 25.57413101196289, 591.6841430664062]",0.9413084387779236,"[12.850358486175537, 494.2734069824219]",
12,4.0,15,"[53.4617919921875, 122.0759048461914, 106.09883117675781, 258.3459777832031]",0.7216965556144714,"[79.78031158447266, 190.21094131469727]",
12,4.0,16,"[266.3908386230469, 134.4395751953125, 361.88470458984375, 307.6600646972656]",0.943773090839386,"[314.1377716064453, 221.04981994628906]",
12,4.0,17,"[113.29580688476562, 216.1986846923828, 202.62106323242188, 374.11199951171875]",0.9441428184509277,"[157.95843505859375, 295.1553421020508]",
13,4.333333333333333,15,"[52.04004669189453, 138.09963989257812, 103.94902038574219, 257.7767639160156]",0.802197277545929,"[77.99453353881836, 197.93820190429688]",
13,4.333333333333333,1,"[79.64942169189453, 340.8172302246094, 197.8095245361328, 513.3701782226562]",0.9664468765258789,"[138.72947311401367, 427.0937042236328]",
13,4.333333333333333,10,"[-2.523176431655884, 131.5244598388672, 28.054096221923828, 256.16949462890625]",0.8087663650512695,"[12.765459895133972, 193.84697723388672]",
13,4.333333333333333,2,"[179.82290649414062, 343.1451721191406, 300.6523132324219, 520.397705078125]",0.9656225442886353,"[240.23760986328125, 431.7714385986328]",
13,4.333333333333333,14,"[0.045948028564453125, 412.46002197265625, 48.355018615722656, 560.3807983398438]",0.9620633125305176,"[24.200483322143555, 486.42041015625]",
13,4.333333333333333,18,"[376.9954528808594, 147.68096923828125, 465.11370849609375, 324.54937744140625]",0.963972806930542,"[421.05458068847656, 236.11517333984375]",
13,4.333333333333333,19,"[-0.4721572995185852, 232.60450744628906, 30.449764251708984, 395.063232421875]",0.8787395358085632,"[14.9888034760952, 313.83386993408203]",
13,4.333333333333333,20,"[99.18326568603516, 121.61319732666016, 151.42637634277344, 244.41055297851562]",0.8306735754013062,"[125.3048210144043, 183.0118751525879]",
13,4.333333333333333,21,"[215.24313354492188, 220.11868286132812, 306.4737243652344, 375.8211669921875]",0.8646814227104187,"[260.8584289550781, 297.9699249267578]",
14,4.666666666666667,20,"[94.71758270263672, 137.31227111816406, 147.39553833007812, 258.8204040527344]",0.854795515537262,"[121.05656051635742, 198.06633758544922]",
14,4.666666666666667,1,"[109.21052551269531, 331.34698486328125, 213.69508361816406, 514.225830078125]",0.958730936050415,"[161.4528045654297, 422.7864074707031]",
14,4.666666666666667,2,"[207.820556640625, 333.0811767578125, 323.2059020996094, 517.3988037109375]",0.9687489867210388,"[265.5132293701172, 425.239990234375]",
14,4.666666666666667,8,"[-1.7154979705810547, 210.9534912109375, 69.07524108886719, 375.53143310546875]",0.8425804972648621,"[33.679871559143066, 293.2424621582031]",
14,4.666666666666667,15,"[30.26874351501465, 128.6281280517578, 87.36698913574219, 266.8523864746094]",0.9292041659355164,"[58.81786632537842, 197.7402572631836]",
14,4.666666666666667,13,"[184.732177734375, 148.0638427734375, 242.67974853515625, 264.06402587890625]",0.534842848777771,"[213.70596313476562, 206.06393432617188]",
14,4.666666666666667,22,"[143.28448486328125, 119.94278717041016, 194.97592163085938, 244.01220703125]",0.8306266665458679,"[169.1302032470703, 181.97749710083008]",
14,4.666666666666667,23,"[-0.9601038694381714, 290.19354248046875, 19.22323989868164, 355.7657775878906]",0.8007663488388062,"[9.131568014621735, 322.9796600341797]",
14,4.666666666666667,24,"[16.776609420776367, 261.7822265625, 115.01297760009766, 417.6475524902344]",0.9213235974311829,"[65.89479351043701, 339.7148895263672]",
14,4.666666666666667,25,"[299.5994873046875, 227.24948120117188, 414.3578186035156, 391.1185607910156]",0.9588111639022827,"[356.97865295410156, 309.18402099609375]",
14,4.666666666666667,26,"[-1.3343524932861328, 404.3337097167969, 32.92748260498047, 528.4721069335938]",0.9235578179359436,"[15.796565055847168, 466.4029083251953]",
15,5.0,12,"[45.481422424316406, 224.40472412109375, 157.5414276123047, 398.40216064453125]",0.7951639294624329,"[101.51142501831055, 311.4034423828125]",
15,5.0,1,"[97.20532989501953, 353.2017517089844, 245.04014587402344, 525.6502685546875]",0.9441275000572205,"[171.12273788452148, 439.42601013183594]",
15,5.0,26,"[-0.3737729787826538, 408.66412353515625, 34.883358001708984, 568.6968383789062]",0.8306204676628113,"[17.254792511463165, 488.68048095703125]",
15,5.0,2,"[177.0504608154297, 345.96832275390625, 352.4144592285156, 519.228759765625]",0.9380418062210083,"[264.73246002197266, 432.5985412597656]",
15,5.0,7,"[68.94281005859375, 124.72628021240234, 138.86471557617188, 291.4814453125]",0.9293085932731628,"[103.90376281738281, 208.10386276245117]",
15,5.0,22,"[125.7839584350586, 137.05307006835938, 175.93771362304688, 244.22540283203125]",0.812045156955719,"[150.86083602905273, 190.6392364501953]",
15,5.0,27,"[367.6737060546875, 220.80831909179688, 476.67828369140625, 401.54486083984375]",0.8981847167015076,"[422.1759948730469, 311.1765899658203]",
15,5.0,28,"[65.6612319946289, 260.55419921875, 155.97164916992188, 402.1587219238281]",0.5196924805641174,"[110.81644058227539, 331.35646057128906]",
15,5.0,29,"[5.844015121459961, 296.1457824707031, 73.20154571533203, 503.7786865234375]",0.8970274925231934,"[39.522780418395996, 399.9622344970703]",
15,5.0,30,"[170.45907592773438, 119.39671325683594, 223.99090576171875, 248.96359252929688]",0.8224733471870422,"[197.22499084472656, 184.1801528930664]",
16,5.333333333333333,2,"[193.64169311523438, 355.24310302734375, 342.2070617675781, 527.90234375]",0.9673384428024292,"[267.92437744140625, 441.5727233886719]",
16,5.333333333333333,1,"[120.90424346923828, 353.2387390136719, 208.454833984375, 525.0715942382812]",0.9356353878974915,"[164.67953872680664, 439.15516662597656]",
16,5.333333333333333,27,"[398.83148193359375, 223.2164306640625, 483.39569091796875, 408.995849609375]",0.9585396647453308,"[441.11358642578125, 316.10614013671875]",
16,5.333333333333333,12,"[79.40303039550781, 222.32276916503906, 173.81541442871094, 384.3257751464844]",0.845007061958313,"[126.60922241210938, 303.3242721557617]",
16,5.333333333333333,26,"[-0.5747509002685547, 395.8689880371094, 33.4342041015625, 565.8587036132812]",0.9605686664581299,"[16.429726600646973, 480.8638458251953]",
16,5.333333333333333,28,"[78.17057037353516, 214.01043701171875, 152.89955139160156, 384.7903747558594]",0.732297956943512,"[115.53506088256836, 299.40040588378906]",
16,5.333333333333333,22,"[106.38727569580078, 125.11676025390625, 164.65863037109375, 290.9824523925781]",0.9469427466392517,"[135.52295303344727, 208.0496063232422]",
16,5.333333333333333,30,"[192.7907257080078, 117.80402374267578, 245.755859375, 250.2357635498047]",0.8582366704940796,"[219.2732925415039, 184.01989364624023]",
16,5.333333333333333,31,"[159.62738037109375, 137.83583068847656, 197.6605987548828, 260.0693054199219]",0.8910081386566162,"[178.64398956298828, 198.95256805419922]",
16,5.333333333333333,32,"[51.46382141113281, 318.10113525390625, 151.85177612304688, 513.8768920898438]",0.9018068313598633,"[101.65779876708984, 415.989013671875]",
17,5.666666666666667,30,"[211.16806030273438, 118.11664581298828, 264.8583679199219, 253.3732452392578]",0.8578628897666931,"[238.01321411132812, 185.74494552612305]",
17,5.666666666666667,12,"[100.38462829589844, 210.6038360595703, 192.09127807617188, 397.6959533691406]",0.8093754649162292,"[146.23795318603516, 304.14989471435547]",
17,5.666666666666667,26,"[-0.521324872970581, 418.8775634765625, 31.988067626953125, 563.9946899414062]",0.9439585208892822,"[15.733371376991272, 491.4361267089844]",
17,5.666666666666667,2,"[202.69122314453125, 374.82012939453125, 361.3365478515625, 536.7990112304688]",0.9579761624336243,"[282.0138854980469, 455.8095703125]",
17,5.666666666666667,1,"[136.23304748535156, 349.8935546875, 240.10769653320312, 525.934326171875]",0.9190817475318909,"[188.17037200927734, 437.9139404296875]",
17,5.666666666666667,31,"[137.0435791015625, 125.62450408935547, 199.2713623046875, 262.817626953125]",0.8785937428474426,"[168.157470703125, 194.22106552124023]",
17,5.666666666666667,32,"[72.78009796142578, 325.9327392578125, 201.34019470214844, 503.787109375]",0.8983054757118225,"[137.0601463317871, 414.85992431640625]",
17,5.666666666666667,27,"[436.65924072265625, 258.10223388671875, 484.2513732910156, 403.72479248046875]",0.8274806141853333,"[460.45530700683594, 330.91351318359375]",
17,5.666666666666667,33,"[1.6432338953018188, 198.06546020507812, 34.8640022277832, 261.1017761230469]",0.5066031813621521,"[18.25361806154251, 229.5836181640625]",
17,5.666666666666667,34,"[180.1884765625, 137.9845733642578, 216.22616577148438, 256.8104248046875]",0.8537242412567139,"[198.2073211669922, 197.39749908447266]",
17,5.666666666666667,35,"[94.01461791992188, 254.69692993164062, 177.32904052734375, 417.0028076171875]",0.8181506991386414,"[135.6718292236328, 335.84986877441406]",
17,5.666666666666667,36,"[255.27786254882812, 142.9566650390625, 312.90228271484375, 262.6639709472656]",0.5270310044288635,"[284.09007263183594, 202.81031799316406]",
18,6.0,30,"[230.18800354003906, 117.45565032958984, 283.55279541015625, 250.5435791015625]",0.8395905494689941,"[256.87039947509766, 183.99961471557617]",
18,6.0,32,"[95.56112670898438, 318.3270568847656, 203.50311279296875, 492.86273193359375]",0.9168311953544617,"[149.53211975097656, 405.5948944091797]",
18,6.0,35,"[113.80323791503906, 248.156982421875, 194.96951293945312, 415.9795227050781]",0.7963521480560303,"[154.3863754272461, 332.06825256347656]",
18,6.0,12,"[146.2071990966797, 201.11724853515625, 216.1422119140625, 365.16827392578125]",0.7928526997566223,"[181.1747055053711, 283.14276123046875]",
18,6.0,36,"[275.2178649902344, 144.08157348632812, 332.6086730957031, 262.1976013183594]",0.6372053027153015,"[303.91326904296875, 203.13958740234375]",
18,6.0,1,"[160.8745574951172, 361.635498046875, 227.06484985351562, 549.4251098632812]",0.8265851140022278,"[193.9697036743164, 455.5303039550781]",
18,6.0,2,"[209.41722106933594, 387.2119140625, 302.3047180175781, 557.7180786132812]",0.8295905590057373,"[255.86096954345703, 472.4649963378906]",
18,6.0,33,"[-0.3063619136810303, 197.87791442871094, 54.3691520690918, 281.14300537109375]",0.677915632724762,"[27.031395077705383, 239.51045989990234]",
18,6.0,37,"[-0.3272169828414917, 422.2201232910156, 32.423892974853516, 484.5344543457031]",0.927511990070343,"[16.048337996006012, 453.3772888183594]",
18,6.0,38,"[153.05824279785156, 126.12751007080078, 209.49163818359375, 233.06094360351562]",0.9214769601821899,"[181.27494049072266, 179.5942268371582]",
18,6.0,39,"[461.2524719238281, 283.28790283203125, 482.1617431640625, 309.09576416015625]",0.5886257290840149,"[471.7071075439453, 296.19183349609375]",
18,6.0,40,"[205.8976287841797, 138.10284423828125, 235.68670654296875, 247.4232940673828]",0.794214129447937,"[220.79216766357422, 192.76306915283203]",
19,6.333333333333333,30,"[257.634765625, 117.73788452148438, 310.7919006347656, 253.07859802246094]",0.7862033247947693,"[284.2133331298828, 185.40824127197266]",
19,6.333333333333333,32,"[108.31553649902344, 322.83050537109375, 204.2605438232422, 497.42889404296875]",0.908594012260437,"[156.2880401611328, 410.12969970703125]",
19,6.333333333333333,12,"[171.41082763671875, 197.20590209960938, 244.38897705078125, 335.38214111328125]",0.7678802013397217,"[207.89990234375, 266.2940216064453]",
19,6.333333333333333,33,"[15.215907096862793, 197.72454833984375, 81.52410125732422, 281.53179931640625]",0.8386936187744141,"[48.370004177093506, 239.628173828125]",
19,6.333333333333333,26,"[-0.2906942367553711, 421.54681396484375, 55.919864654541016, 583.0469360351562]",0.954819917678833,"[27.814585208892822, 502.296875]",
19,6.333333333333333,34,"[175.59585571289062, 126.14469146728516, 239.92572021484375, 232.00831604003906]",0.8943929672241211,"[207.7607879638672, 179.0765037536621]",
19,6.333333333333333,41,"[233.2993927001953, 138.3549041748047, 263.40484619140625, 244.9058380126953]",0.7576356530189514,"[248.35211944580078, 191.63037109375]",
19,6.333333333333333,42,"[236.12901306152344, 325.7861328125, 294.4609069824219, 567.124755859375]",0.8402438163757324,"[265.29496002197266, 446.4554443359375]",
19,6.333333333333333,43,"[195.23910522460938, 303.56890869140625, 246.0977783203125, 554.5979614257812]",0.8027331829071045,"[220.66844177246094, 429.08343505859375]",
19,6.333333333333333,44,"[148.96441650390625, 239.57440185546875, 230.3061981201172, 344.0065002441406]",0.7574045658111572,"[189.63530731201172, 291.7904510498047]",
19,6.333333333333333,45,"[13.195388793945312, 512.1498413085938, 127.57029724121094, 736.7224731445312]",0.956502377986908,"[70.38284301757812, 624.4361572265625]",
20,6.666666666666667,30,"[293.56866455078125, 118.61064147949219, 345.86029052734375, 249.9323272705078]",0.8307417631149292,"[319.7144775390625, 184.271484375]",
20,6.666666666666667,33,"[50.73823547363281, 197.65115356445312, 116.51139831542969, 283.6477966308594]",0.8522080779075623,"[83.62481689453125, 240.64947509765625]",
20,6.666666666666667,21,"[217.06918334960938, 207.54690551757812, 284.52850341796875, 405.9268493652344]",0.7013459205627441,"[250.79884338378906, 306.73687744140625]",
20,6.666666666666667,32,"[129.4139404296875, 293.408203125, 228.93431091308594, 479.0194396972656]",0.9285534024238586,"[179.17412567138672, 386.2138214111328]",
20,6.666666666666667,12,"[182.01702880859375, 244.125244140625, 272.69085693359375, 335.0136413574219]",0.7453746795654297,"[227.35394287109375, 289.56944274902344]",
20,6.666666666666667,26,"[8.872264862060547, 415.5099182128906, 73.52944946289062, 636.7940063476562]",0.9648504853248596,"[41.200857162475586, 526.1519622802734]",
20,6.666666666666667,41,"[210.48521423339844, 129.3460693359375, 274.7093505859375, 240.96725463867188]",0.9190417528152466,"[242.59728240966797, 185.1566619873047]",
20,6.666666666666667,46,"[267.3245849609375, 139.1851806640625, 298.89471435546875, 236.56460571289062]",0.7779735922813416,"[283.1096496582031, 187.87489318847656]",
20,6.666666666666667,47,"[262.6549072265625, 275.0179748535156, 335.755859375, 547.8475952148438]",0.8796877861022949,"[299.20538330078125, 411.4327850341797]",
20,6.666666666666667,48,"[-0.8651751279830933, 189.23191833496094, 43.232666015625, 275.24847412109375]",0.5732488632202148,"[21.183745443820953, 232.24019622802734]",
20,6.666666666666667,49,"[223.8536376953125, 299.02001953125, 269.0549621582031, 532.9053344726562]",0.7969821691513062,"[246.4542999267578, 415.9626770019531]",
20,6.666666666666667,50,"[187.0875244140625, 486.7583923339844, 275.88092041015625, 715.3870849609375]",0.9477372765541077,"[231.48422241210938, 601.0727386474609]",
21,7.0,33,"[93.3915786743164, 196.7455596923828, 159.46495056152344, 283.2969665527344]",0.834585964679718,"[126.42826461791992, 240.0212631225586]",
21,7.0,36,"[336.67376708984375, 120.2602310180664, 389.0193176269531, 249.5955810546875]",0.7952318787574768,"[362.84654235839844, 184.92790603637695]",
21,7.0,42,"[253.30352783203125, 352.8297119140625, 293.7829284667969, 570.1751098632812]",0.9172654747962952,"[273.54322814941406, 461.5024108886719]",
21,7.0,32,"[184.76034545898438, 276.5225524902344, 255.1795654296875, 462.7494812011719]",0.9488276243209839,"[219.96995544433594, 369.6360168457031]",
21,7.0,46,"[268.9527893066406, 133.5297088623047, 325.0387878417969, 242.3312530517578]",0.9056531190872192,"[296.99578857421875, 187.93048095703125]",
21,7.0,5,"[310.5016784667969, 507.7651062011719, 445.19146728515625, 749.4808349609375]",0.9135831594467163,"[377.84657287597656, 628.6229705810547]",
21,7.0,51,"[295.1873779296875, 389.36053466796875, 362.5998840332031, 606.3666381835938]",0.9033069610595703,"[328.8936309814453, 497.86358642578125]",
21,7.0,52,"[47.874176025390625, 420.16668701171875, 133.87075805664062, 637.466796875]",0.9691545963287354,"[90.87246704101562, 528.8167419433594]",
21,7.0,53,"[245.5491485595703, 244.97760009765625, 329.5625305175781, 411.1341857910156]",0.8221555948257446,"[287.5558395385742, 328.05589294433594]",
21,7.0,54,"[310.88201904296875, 138.6569061279297, 341.7129821777344, 240.47216796875]",0.7320884466171265,"[326.29750061035156, 189.56453704833984]",
21,7.0,55,"[281.1065368652344, 207.5891876220703, 338.2762451171875, 382.6402282714844]",0.8244482278823853,"[309.69139099121094, 295.11470794677734]",
22,7.333333333333333,33,"[134.67530822753906, 195.72344970703125, 200.87640380859375, 262.6661071777344]",0.7217468619346619,"[167.7758560180664, 229.1947784423828]",
22,7.333333333333333,32,"[197.70326232910156, 276.6073303222656, 284.5996398925781, 474.3743591308594]",0.9569133520126343,"[241.15145111083984, 375.4908447265625]",
22,7.333333333333333,36,"[386.3775329589844, 118.91238403320312, 430.11846923828125, 250.38076782226562]",0.8388577103614807,"[408.2480010986328, 184.64657592773438]",
22,7.333333333333333,53,"[266.9389343261719, 242.09910583496094, 376.58270263671875, 422.8309326171875]",0.8715683221817017,"[321.7608184814453, 332.4650192260742]",
22,7.333333333333333,47,"[279.9339904785156, 358.8748779296875, 331.1236267089844, 578.3313598632812]",0.9618865847587585,"[305.52880859375, 468.6031188964844]",
22,7.333333333333333,25,"[342.226318359375, 208.47377014160156, 395.8301086425781, 404.42022705078125]",0.9071666598320007,"[369.02821350097656, 306.4469985961914]",
22,7.333333333333333,56,"[355.51727294921875, 411.28167724609375, 454.77130126953125, 636.9300537109375]",0.9719333052635193,"[405.144287109375, 524.1058654785156]",
22,7.333333333333333,57,"[97.5654525756836, 386.1344909667969, 170.8247833251953, 604.419189453125]",0.9781994819641113,"[134.19511795043945, 495.27684020996094]",
22,7.333333333333333,58,"[331.1729431152344, 137.7861328125, 390.9740295410156, 252.5692138671875]",0.8410997986793518,"[361.073486328125, 195.17767333984375]",
23,7.666666666666667,12,"[266.23968505859375, 269.8769226074219, 346.6969909667969, 441.6793518066406]",0.9564096927642822,"[306.4683380126953, 355.77813720703125]",
23,7.666666666666667,36,"[416.0383605957031, 134.6056365966797, 474.7952575683594, 245.3382568359375]",0.8795155882835388,"[445.41680908203125, 189.9719467163086]",
23,7.666666666666667,33,"[187.42306518554688, 194.91067504882812, 254.12030029296875, 280.6099548339844]",0.7709457874298096,"[220.7716827392578, 237.76031494140625]",
23,7.666666666666667,5,"[405.38580322265625, 441.865478515625, 483.40008544921875, 682.0653076171875]",0.9629738330841064,"[444.3929443359375, 561.9653930664062]",
23,7.666666666666667,51,"[316.34307861328125, 358.9678955078125, 376.3521728515625, 576.676025390625]",0.9629166722297668,"[346.3476257324219, 467.82196044921875]",
23,7.666666666666667,25,"[347.4032287597656, 243.7045440673828, 444.2611083984375, 420.8307189941406]",0.911395251750946,"[395.83216857910156, 332.2676315307617]",
23,7.666666666666667,59,"[383.15899658203125, 136.48532104492188, 425.26239013671875, 248.99900817871094]",0.7577936053276062,"[404.210693359375, 192.7421646118164]",
23,7.666666666666667,60,"[453.3199462890625, 119.14213562011719, 480.54217529296875, 186.84176635742188]",0.59508216381073,"[466.9310607910156, 152.99195098876953]",
23,7.666666666666667,61,"[406.2466735839844, 210.0954132080078, 460.26123046875, 416.68255615234375]",0.9251471161842346,"[433.2539520263672, 313.3889846801758]",
23,7.666666666666667,62,"[150.38543701171875, 374.39385986328125, 242.99867248535156, 583.2659912109375]",0.9799572825431824,"[196.69205474853516, 478.8299255371094]",
24,8.0,33,"[234.6984405517578, 176.075439453125, 300.3717346191406, 282.90673828125]",0.864302933216095,"[267.5350875854492, 229.4910888671875]",
24,8.0,30,"[429.96337890625, 136.83221435546875, 480.48162841796875, 248.91285705566406]",0.6631094217300415,"[455.2225036621094, 192.8725357055664]",
24,8.0,61,"[399.54693603515625, 240.38140869140625, 481.012451171875, 419.8600769042969]",0.8831355571746826,"[440.2796936035156, 330.12074279785156]",
24,8.0,56,"[338.7480163574219, 357.5386047363281, 452.021728515625, 574.7425537109375]",0.950745165348053,"[395.38487243652344, 466.1405792236328]",
24,8.0,53,"[326.763916015625, 277.8924865722656, 398.60894775390625, 440.521240234375]",0.9365419149398804,"[362.6864318847656, 359.2068634033203]",
24,8.0,63,"[193.29367065429688, 368.7475280761719, 286.1976318359375, 577.7178955078125]",0.9785996079444885,"[239.7456512451172, 473.2327117919922]",
24,8.0,64,"[461.07183837890625, 220.82542419433594, 483.0116882324219, 419.8050537109375]",0.8214606046676636,"[472.04176330566406, 320.3152389526367]",
25,8.333333333333334,43,"[182.85194396972656, 347.1705322265625, 254.88330078125, 551.7623291015625]",0.972892165184021,"[218.86762237548828, 449.4664306640625]",
25,8.333333333333334,61,"[430.3626708984375, 239.5279998779297, 479.17352294921875, 399.6233215332031]",0.9565112590789795,"[454.7680969238281, 319.5756607055664]",
25,8.333333333333334,51,"[305.07861328125, 291.7374572753906, 410.3817138671875, 449.8724365234375]",0.9384309649467468,"[357.73016357421875, 370.80494689941406]",
25,8.333333333333334,65,"[245.7556610107422, 180.8252716064453, 325.6101989746094, 283.4392395019531]",0.5460541844367981,"[285.6829299926758, 232.13225555419922]",
25,8.333333333333334,66,"[381.799560546875, 366.1449279785156, 475.74652099609375, 570.7276000976562]",0.9741824269294739,"[428.7730407714844, 468.43626403808594]",
26,8.666666666666666,66,"[384.76605224609375, 376.6271057128906, 480.24176025390625, 564.6918334960938]",0.9636871218681335,"[432.50390625, 470.6594696044922]",
26,8.666666666666666,32,"[241.996826171875, 268.6534118652344, 357.2630310058594, 456.87078857421875]",0.8937772512435913,"[299.6299285888672, 362.76210021972656]",
26,8.666666666666666,67,"[465.30694580078125, 118.7667465209961, 482.37127685546875, 244.4359130859375]",0.5541315674781799,"[473.839111328125, 181.6013298034668]",
