frame,time,track_id,bbox,confidence,position,jersey_number
0,0.0,1,"[637.6680908203125, 5.409639358520508, 724.0514526367188, 568.0792846679688]",0.9008793234825134,"[680.8597717285156, 286.74446201324463]",
0,0.0,2,"[453.5440368652344, 158.39076232910156, 722.9317016601562, 736.8781127929688]",0.9604313969612122,"[588.2378692626953, 447.63443756103516]",
0,0.0,3,"[-3.7982547283172607, 101.78734588623047, 361.04779052734375, 732.8462524414062]",0.9816181063652039,"[178.62476789951324, 417.31679916381836]",
1,0.3333333333333333,2,"[471.0272216796875, 145.93502807617188, 725.7947998046875, 796.8776245117188]",0.9676775932312012,"[598.4110107421875, 471.4063262939453]",
1,0.3333333333333333,3,"[87.40040588378906, 82.8016357421875, 492.1800842285156, 715.456298828125]",0.9648454785346985,"[289.79024505615234, 399.12896728515625]",
1,0.3333333333333333,4,"[-3.4321117401123047, 304.5003356933594, 159.49224853515625, 743.3348388671875]",0.9379081130027771,"[78.03006839752197, 523.9175872802734]",
2,0.6666666666666666,2,"[375.865234375, 177.3225555419922, 714.5662841796875, 735.7252197265625]",0.9386391639709473,"[545.2157592773438, 456.52388763427734]",
2,0.6666666666666666,5,"[119.5115737915039, 164.99029541015625, 443.3209228515625, 727.4957275390625]",0.8824660181999207,"[281.4162483215332, 446.2430114746094]",
2,0.6666666666666666,6,"[109.27671813964844, 25.223695755004883, 415.9667663574219, 737.8317260742188]",0.8239076733589172,"[262.62174224853516, 381.5277109146118]",
3,1.0,3,"[252.80517578125, 130.0735321044922, 722.9851684570312, 755.1412963867188]",0.8429012298583984,"[487.8951721191406, 442.60741424560547]",
3,1.0,2,"[340.33721923828125, 245.87367248535156, 722.292724609375, 787.7325439453125]",0.8493276834487915,"[531.3149719238281, 516.803108215332]",
3,1.0,7,"[353.65802001953125, 11.073214530944824, 540.7870483398438, 719.5899047851562]",0.6298471689224243,"[447.2225341796875, 365.33155965805054]",
3,1.0,8,"[-2.4408557415008545, 165.37681579589844, 31.02513313293457, 730.8764038085938]",0.5613022446632385,"[14.292138695716858, 448.1266098022461]",
3,1.0,9,"[381.7168273925781, 10.217020034790039, 533.430419921875, 411.2304992675781]",0.509689450263977,"[457.57362365722656, 210.72375965118408]",
4,1.3333333333333333,6,"[-2.7689409255981445, 59.27680206298828, 353.1979064941406, 707.94580078125]",0.8650957345962524,"[175.21448278427124, 383.61130142211914]",
4,1.3333333333333333,2,"[243.37908935546875, 132.13294982910156, 663.9758911132812, 769.6244506835938]",0.9248902201652527,"[453.677490234375, 450.87870025634766]",
4,1.3333333333333333,1,"[612.5971069335938, 167.15249633789062, 724.9376831054688, 444.4895935058594]",0.8098033666610718,"[668.7673950195312, 305.821044921875]",
5,1.6666666666666667,2,"[234.93772888183594, 93.34757995605469, 520.9146118164062, 700.5007934570312]",0.9702447056770325,"[377.9261703491211, 396.92418670654297]",
5,1.6666666666666667,5,"[65.10604095458984, 54.11103057861328, 362.6518249511719, 618.4025268554688]",0.9502543807029724,"[213.87893295288086, 336.256778717041]",
5,1.6666666666666667,10,"[502.5868225097656, 143.1561279296875, 722.5090942382812, 709.308349609375]",0.9546528458595276,"[612.5479583740234, 426.23223876953125]",
