frame,time,track_id,bbox,confidence,position,jersey_number
0,0.0,1,"[192.44049072265625, 300.1336975097656, 297.7986755371094, 469.86712646484375]",0.9194545149803162,"[245.1195831298828, 385.0004119873047]",
0,0.0,2,"[565.6852416992188, 454.5936279296875, 678.1692504882812, 722.14794921875]",0.9675803184509277,"[621.92724609375, 588.3707885742188]",
0,0.0,3,"[177.8571319580078, 424.24346923828125, 277.4955749511719, 604.511962890625]",0.8349263668060303,"[227.67635345458984, 514.3777160644531]",
0,0.0,4,"[-0.7708680629730225, 406.844970703125, 37.29057312011719, 587.57666015625]",0.6108793616294861,"[18.259852528572083, 497.2108154296875]",
0,0.0,5,"[88.29013061523438, 174.79623413085938, 196.4200897216797, 346.2399597167969]",0.9288357496261597,"[142.35511016845703, 260.5180969238281]",
0,0.0,6,"[244.22044372558594, 353.8965759277344, 390.2829284667969, 627.854736328125]",0.8522201180458069,"[317.2516860961914, 490.8756561279297]",
0,0.0,7,"[347.7546691894531, 412.5384826660156, 453.3775329589844, 662.4888916015625]",0.8401889204978943,"[400.56610107421875, 537.5136871337891]",
0,0.0,8,"[175.5507049560547, 588.318603515625, 269.63226318359375, 841.3701171875]",0.5866187810897827,"[222.59148406982422, 714.8443603515625]",
1,0.1,1,"[202.68572998046875, 301.0775451660156, 295.9532775878906, 469.995361328125]",0.748481810092926,"[249.3195037841797, 385.5364532470703]",
1,0.1,2,"[548.21142578125, 453.595458984375, 665.5978393554688, 724.126953125]",0.972542941570282,"[606.9046325683594, 588.8612060546875]",
1,0.1,5,"[72.30477142333984, 176.5347442626953, 181.73719787597656, 348.54302978515625]",0.94493567943573,"[127.0209846496582, 262.5388870239258]",
1,0.1,6,"[282.08990478515625, 338.7798156738281, 414.65631103515625, 605.1876831054688]",0.7536363005638123,"[348.37310791015625, 471.98374938964844]",
1,0.1,7,"[362.87945556640625, 387.5580139160156, 493.2734680175781, 639.5291137695312]",0.915495753288269,"[428.0764617919922, 513.5435638427734]",
1,0.1,9,"[352.51214599609375, 167.00469970703125, 400.7889099121094, 279.6877746582031]",0.5819010734558105,"[376.65052795410156, 223.3462371826172]",
1,0.1,10,"[191.73338317871094, 336.4605712890625, 327.52630615234375, 631.1775512695312]",0.9106031060218811,"[259.62984466552734, 483.8190612792969]",
1,0.1,11,"[-2.00125789642334, 314.6156311035156, 53.88258361816406, 548.48828125]",0.9361225366592407,"[25.94066286087036, 431.5519561767578]",
2,0.2,2,"[539.7341918945312, 453.7352294921875, 648.7593383789062, 728.5082397460938]",0.9713259935379028,"[594.2467651367188, 591.1217346191406]",
2,0.2,5,"[65.76538848876953, 177.439208984375, 173.9564208984375, 350.243896484375]",0.9437978267669678,"[119.86090469360352, 263.841552734375]",
2,0.2,8,"[166.7699737548828, 592.1201171875, 262.8891906738281, 842.8128662109375]",0.8704237937927246,"[214.82958221435547, 717.4664916992188]",
2,0.2,1,"[216.05250549316406, 307.0691223144531, 307.4397888183594, 470.5640869140625]",0.9371337890625,"[261.7461471557617, 388.8166046142578]",
2,0.2,6,"[314.4873046875, 341.9039001464844, 433.243896484375, 600.6569213867188]",0.8814612030982971,"[373.8656005859375, 471.28041076660156]",
2,0.2,11,"[1.0002866983413696, 311.4789123535156, 68.44436645507812, 547.3461303710938]",0.9314390420913696,"[34.72232657670975, 429.4125213623047]",
2,0.2,7,"[379.4012145996094, 328.5536804199219, 486.8477478027344, 635.324462890625]",0.8435147404670715,"[433.1244812011719, 481.93907165527344]",
2,0.2,10,"[235.8401336669922, 309.0481262207031, 360.1634521484375, 629.611328125]",0.9108759760856628,"[298.00179290771484, 469.32972717285156]",
3,0.3,8,"[164.04307556152344, 593.6475830078125, 253.8551483154297, 844.0278930664062]",0.8756908774375916,"[208.94911193847656, 718.8377380371094]",
3,0.3,2,"[531.4639892578125, 458.01287841796875, 641.5391845703125, 728.8574829101562]",0.974040687084198,"[586.5015869140625, 593.4351806640625]",
3,0.3,5,"[66.3211441040039, 178.25796508789062, 166.19598388671875, 345.5628662109375]",0.8972387909889221,"[116.25856399536133, 261.91041564941406]",
