frame,time,track_id,bbox,confidence,position,jersey_number
0,0.0,1,"[618.840576171875, 172.70794677734375, 653.2481689453125, 262.6451110839844]",0.9449383020401001,"[636.0443725585938, 217.67652893066406]",
0,0.0,2,"[358.6000061035156, 49.53964614868164, 383.3505554199219, 102.40259552001953]",0.5982978343963623,"[370.97528076171875, 75.97112083435059]",
0,0.0,3,"[813.1278076171875, 187.9582977294922, 848.890380859375, 287.2698669433594]",0.9445967078208923,"[831.0090942382812, 237.61408233642578]",
0,0.0,4,"[291.6702880859375, 181.40013122558594, 329.07464599609375, 283.6535339355469]",0.8524202704429626,"[310.3724670410156, 232.5268325805664]",
0,0.0,5,"[318.33221435546875, 241.7803497314453, 354.0358581542969, 348.0846862792969]",0.8773877024650574,"[336.1840362548828, 294.9325180053711]",
0,0.0,6,"[382.8283996582031, 49.219139099121094, 407.4071960449219, 103.68296813964844]",0.5014263987541199,"[395.1177978515625, 76.45105361938477]",
0,0.0,7,"[268.1292419433594, 169.99893188476562, 298.0232238769531, 273.1518249511719]",0.8773647546768188,"[283.07623291015625, 221.57537841796875]",
0,0.0,8,"[256.49566650390625, 189.60694885253906, 294.4228210449219, 272.9339599609375]",0.9023984670639038,"[275.45924377441406, 231.27045440673828]",
0,0.0,9,"[532.4600830078125, 86.24464416503906, 562.8070678710938, 170.3901824951172]",0.9137443900108337,"[547.6335754394531, 128.31741333007812]",
0,0.0,10,"[282.2506103515625, 230.96490478515625, 335.0220947265625, 319.3077087402344]",0.8735899329185486,"[308.6363525390625, 275.1363067626953]",
0,0.0,11,"[329.3176574707031, 124.00719451904297, 367.9745178222656, 221.7454071044922]",0.9212580323219299,"[348.6460876464844, 172.87630081176758]",
0,0.0,12,"[336.39093017578125, 72.10084533691406, 367.9645690917969, 134.0536346435547]",0.8550423979759216,"[352.17774963378906, 103.07723999023438]",
0,0.0,13,"[251.52828979492188, 271.3369445800781, 293.3133544921875, 351.2671203613281]",0.8683412671089172,"[272.4208221435547, 311.3020324707031]",
1,0.16666666666666666,1,"[618.8377685546875, 172.69866943359375, 653.2990112304688, 262.5809326171875]",0.9450666308403015,"[636.0683898925781, 217.63980102539062]",
1,0.16666666666666666,13,"[251.61016845703125, 271.36590576171875, 293.39984130859375, 351.44122314453125]",0.8110618591308594,"[272.5050048828125, 311.403564453125]",
1,0.16666666666666666,7,"[268.1215515136719, 169.80142211914062, 297.9421691894531, 272.9396667480469]",0.8681153059005737,"[283.0318603515625, 221.37054443359375]",
1,0.16666666666666666,11,"[329.300048828125, 123.8388671875, 367.6421203613281, 221.7082061767578]",0.9287710785865784,"[348.47108459472656, 172.7735366821289]",
1,0.16666666666666666,3,"[813.2132568359375, 187.897705078125, 849.1639404296875, 287.1498107910156]",0.9464720487594604,"[831.1885986328125, 237.5237579345703]",
1,0.16666666666666666,10,"[282.4808349609375, 231.03915405273438, 335.3337097167969, 319.2008056640625]",0.8772228956222534,"[308.9072723388672, 275.11997985839844]",
1,0.16666666666666666,8,"[256.1108093261719, 189.7306671142578, 294.93023681640625, 273.3358154296875]",0.8958114981651306,"[275.52052307128906, 231.53324127197266]",
1,0.16666666666666666,4,"[292.123779296875, 181.96035766601562, 329.2391357421875, 282.8517150878906]",0.8510189056396484,"[310.68145751953125, 232.40603637695312]",
1,0.16666666666666666,5,"[318.17584228515625, 241.0214385986328, 353.8082580566406, 346.5223083496094]",0.895768940448761,"[335.99205017089844, 293.7718734741211]",
1,0.16666666666666666,12,"[336.6468200683594, 71.66735076904297, 368.1282043457031, 135.26499938964844]",0.8085145950317383,"[352.38751220703125, 103.4661750793457]",
1,0.16666666666666666,9,"[531.751220703125, 85.7403335571289, 563.3242797851562, 170.5063934326172]",0.9258697628974915,"[547.5377502441406, 128.12336349487305]",
1,0.16666666666666666,2,"[358.4518127441406, 48.87925720214844, 383.1502990722656, 100.3222427368164]",0.5807493925094604,"[370.8010559082031, 74.60074996948242]",
2,0.3333333333333333,11,"[329.27264404296875, 123.95267486572266, 367.4062194824219, 221.74551391601562]",0.9243442416191101,"[348.3394317626953, 172.84909439086914]",
2,0.3333333333333333,1,"[618.6769409179688, 172.72068786621094, 653.026123046875, 262.5311279296875]",0.9443053603172302,"[635.8515319824219, 217.62590789794922]",
2,0.3333333333333333,3,"[813.20947265625, 187.83848571777344, 849.0093994140625, 287.0014953613281]",0.9464437961578369,"[831.1094360351562, 237.41999053955078]",
2,0.3333333333333333,7,"[268.1411437988281, 170.1215057373047, 298.08416748046875, 272.9983825683594]",0.8741734027862549,"[283.11265563964844, 221.55994415283203]",
2,0.3333333333333333,9,"[531.4976196289062, 84.79834747314453, 563.265625, 170.2191619873047]",0.9320322275161743,"[547.3816223144531, 127.50875473022461]",
2,0.3333333333333333,4,"[292.2140197753906, 181.59597778320312, 329.67779541015625, 283.5042419433594]",0.8670343160629272,"[310.94590759277344, 232.55010986328125]",
2,0.3333333333333333,13,"[251.79920959472656, 271.34393310546875, 293.3948974609375, 350.47955322265625]",0.826622724533081,"[272.59705352783203, 310.9117431640625]",
2,0.3333333333333333,8,"[256.73944091796875, 189.9556427001953, 295.0701904296875, 273.3204650878906]",0.8935449719429016,"[275.9048156738281, 231.63805389404297]",
2,0.3333333333333333,12,"[336.7256774902344, 71.9886703491211, 368.0857849121094, 135.16259765625]",0.8191698789596558,"[352.4057312011719, 103.57563400268555]",
