frame,time,track_id,bbox,confidence,position,jersey_number
0,0.0,1,"[490.736328125, 68.65109252929688, 527.1830444335938, 141.0113525390625]",0.8770925402641296,"[508.9596862792969, 104.83122253417969]",
0,0.0,2,"[600.4593505859375, 170.62596130371094, 639.5104370117188, 265.5818786621094]",0.923658549785614,"[619.9848937988281, 218.10391998291016]",
0,0.0,3,"[457.7538146972656, 246.65907287597656, 488.3526916503906, 367.4400939941406]",0.8955017328262329,"[473.0532531738281, 307.0495834350586]",
0,0.0,4,"[92.1435775756836, 222.59315490722656, 149.33424377441406, 334.9168395996094]",0.9421699047088623,"[120.73891067504883, 278.75499725341797]",
0,0.0,5,"[271.32183837890625, 77.30309295654297, 303.51361083984375, 146.27603149414062]",0.9001911282539368,"[287.417724609375, 111.7895622253418]",
0,0.0,6,"[224.16424560546875, 131.9905242919922, 268.8865966796875, 192.28594970703125]",0.7393572926521301,"[246.52542114257812, 162.13823699951172]",
0,0.0,7,"[219.7947998046875, 169.05844116210938, 249.86776733398438, 279.4131774902344]",0.905488908290863,"[234.83128356933594, 224.23580932617188]",
0,0.0,8,"[523.1874389648438, 160.36997985839844, 571.1771240234375, 245.70001220703125]",0.9546308517456055,"[547.1822814941406, 203.03499603271484]",
0,0.0,9,"[422.71185302734375, 215.23268127441406, 461.8388977050781, 326.3007507324219]",0.9317577481269836,"[442.27537536621094, 270.76671600341797]",
0,0.0,10,"[272.2193908691406, 262.5133361816406, 322.4147033691406, 352.1346130371094]",0.5968418121337891,"[297.3170471191406, 307.323974609375]",
0,0.0,11,"[427.9642333984375, 88.34107208251953, 460.9563903808594, 169.01747131347656]",0.9316262602806091,"[444.46031188964844, 128.67927169799805]",
1,0.16666666666666666,4,"[89.1071548461914, 225.54554748535156, 150.62646484375, 334.8077392578125]",0.9327845573425293,"[119.8668098449707, 280.17664337158203]",
1,0.16666666666666666,5,"[274.98760986328125, 77.56927490234375, 304.22344970703125, 147.27967834472656]",0.8795152902603149,"[289.60552978515625, 112.42447662353516]",
1,0.16666666666666666,1,"[493.9583740234375, 67.67189025878906, 529.1011962890625, 142.0609893798828]",0.8990975022315979,"[511.52978515625, 104.86643981933594]",
1,0.16666666666666666,10,"[276.4693603515625, 261.70013427734375, 318.5268859863281, 353.94140625]",0.5930970907211304,"[297.4981231689453, 307.8207702636719]",
1,0.16666666666666666,8,"[518.539794921875, 155.54803466796875, 573.1849975585938, 244.029296875]",0.9407624006271362,"[545.8623962402344, 199.78866577148438]",
1,0.16666666666666666,2,"[600.3250122070312, 164.1780548095703, 636.7044677734375, 259.6064147949219]",0.9230116605758667,"[618.5147399902344, 211.8922348022461]",
1,0.16666666666666666,7,"[223.58932495117188, 169.58094787597656, 254.86004638671875, 279.5721435546875]",0.9269869327545166,"[239.2246856689453, 224.57654571533203]",
